City,Latitude,Temperature,Humidity,Wind Speed mph,Cloudiness
kapaa,22.08,71.6,78,21.92,75
san cristobal,-0.39,73.4,49,6.93,75
ushuaia,-54.81,53.6,81,3.36,20
bredasdorp,-34.53,72.0,83,8.05,8
busselton,-33.64,52.0,50,13.24,8
iqaluit,63.75,5.0,71,32.21,90
komsomolskiy,67.55,22.63,88,11.68,80
talnakh,69.49,2.29,66,5.41,68
cockburn town,21.46,79.6,98,10.22,0
hithadhoo,-0.6,86.89,100,7.31,68
balsas,-7.53,83.02,82,5.64,48
nikolskoye,59.7,37.99,86,8.95,90
jamestown,-33.21,63.22,93,7.76,92
punta arenas,-53.16,55.4,71,10.29,20
tulsa,36.16,55.4,82,11.41,90
bluff,-23.58,70.24,89,3.74,0
nanortalik,60.14,23.17,100,17.72,24
rikitea,-23.12,79.33,98,18.95,32
dzhebariki-khaya,62.22,-15.09,43,2.39,8
monrovia,6.33,86.0,74,10.29,40
tiksi,71.64,1.57,68,3.06,48
dekar,-21.53,83.47,29,11.01,0
waipawa,-39.94,50.0,93,2.62,0
kirakira,-10.46,84.1,100,11.23,76
port lincoln,-34.72,62.14,100,3.62,80
arraial do cabo,-22.97,82.4,61,9.17,40
la palma,5.36,72.67,94,2.28,56
zonalnaya stantsiya,56.43,34.0,86,2.24,0
nizwa,22.93,65.56,66,0.6,44
bowen,-20.01,75.2,94,5.82,40
airai,-8.93,70.24,88,1.61,32
cabo san lucas,22.89,82.0,56,2.24,5
oranjemund,-28.55,62.77,90,4.97,20
kaitangata,-46.28,56.38,91,3.96,80
antalaha,-14.9,79.6,89,9.1,64
clyde river,70.47,-16.61,68,17.22,75
khatanga,71.98,-16.44,48,3.18,0
wilmington,39.75,50.0,26,20.8,1
panaba,21.28,86.98,32,5.08,0
mar del plata,-46.43,58.45,72,14.47,56
esperance,10.24,88.0,48,18.34,40
georgetown,6.8,91.4,66,13.87,40
pangnirtung,66.15,1.4,64,23.04,90
vaini,15.34,69.97,85,3.06,0
chenghai,23.46,57.2,100,6.71,90
tupaciguara,-18.59,78.8,61,8.05,75
dunedin,-45.87,57.99,88,1.01,68
toamasina,-18.17,80.6,88,6.93,40
yellowknife,62.45,3.99,54,8.05,20
chuy,-33.69,74.92,83,7.31,20
jimma,7.67,66.82,65,1.72,44
coquimbo,-29.95,64.93,95,3.74,36
itaguai,-22.85,87.8,58,8.05,75
menongue,-14.66,76.27,45,2.62,68
hofn,64.25,37.48,100,9.22,92
itarema,-2.92,79.6,97,5.08,92
mackenzie,55.34,41.0,65,4.7,90
mahebourg,-20.41,80.6,88,8.05,75
puerto ayora,-0.74,84.2,74,10.29,75
miandrivazo,-19.53,71.05,95,2.95,56
havoysund,71.0,33.8,69,8.05,12
albany,42.65,39.0,45,9.17,90
cefalu,38.04,60.01,68,1.72,20
barrow,-38.31,79.42,48,21.41,0
hermanus,-34.42,73.99,81,5.99,64
hilo,19.71,69.01,88,6.93,40
sorland,67.67,41.08,95,39.97,92
pisco,-13.71,71.6,30,9.17,0
pangody,65.85,25.69,89,6.42,88
westport,53.8,48.0,70,10.29,75
yongan,39.7,18.04,53,5.75,0
port alfred,-33.59,77.0,92,4.0,0
norman wells,65.28,24.8,73,24.16,40
fortuna,38.18,61.0,67,10.29,0
christchurch,-43.53,62.01,93,2.24,0
yichang,30.77,40.81,84,3.18,92
east london,-33.02,75.2,78,13.87,0
castro,-42.48,59.0,72,5.82,75
klaksvik,62.23,39.2,80,20.8,92
sibu,2.29,78.8,94,1.12,75
ponta do sol,-20.63,77.89,79,5.19,36
tura,25.52,63.22,57,3.85,0
faanui,-16.48,83.47,100,10.22,44
impfondo,1.62,78.97,85,2.51,44
taksimo,56.36,15.97,54,4.74,32
cape town,-33.93,73.99,73,11.41,0
tasiilaq,65.61,15.8,56,13.87,20
ancud,-41.87,59.0,72,5.82,75
yabelo,4.89,81.31,21,11.01,0
mataura,-46.19,55.99,90,2.73,64
kodiak,39.95,52.0,29,13.87,75
avarua,-21.21,75.2,94,1.12,80
garden city,40.73,48.0,33,11.41,1
trincomalee,8.58,74.74,90,3.85,8
vuktyl,63.86,21.82,83,4.74,8
saint-philippe,45.36,33.01,79,3.36,40
katsuura,33.93,37.4,93,5.82,40
shakiso,5.77,69.07,30,4.85,0
freeport,26.54,78.8,44,8.05,0
abu samrah,35.3,57.46,70,6.2,0
geraldton,49.72,44.6,19,16.11,20
carnarvon,-30.97,78.7,16,7.43,92
walvis bay,-22.95,64.4,72,12.75,0
faya,18.39,66.2,63,9.17,40
butaritari,3.07,81.4,100,8.99,68
petropavlovsk-kamchatskiy,53.05,32.0,81,11.18,40
nioro,13.79,87.97,39,3.74,64
winnipeg,49.88,42.01,69,12.75,20
salisbury,51.07,53.6,87,6.93,75
tigil,57.8,21.64,79,12.68,64
birnin kebbi,12.45,93.55,24,4.52,0
mbanza-ngungu,-5.25,69.88,94,8.21,92
kruisfontein,-34.0,70.33,83,9.78,0
saskylakh,71.97,-23.01,33,3.4,0
bandarbeyla,9.49,81.04,100,9.44,36
japura,-0.42,71.68,97,2.62,68
dauphin,51.15,44.6,70,13.87,1
sao miguel do araguaia,-13.28,82.3,100,4.18,32
vila franca do campo,37.72,57.2,82,34.45,75
eregli,37.51,39.19,78,4.41,68
shu,43.6,53.77,30,10.11,92
kimbe,-5.56,78.34,100,3.85,36
ponot,8.45,77.17,91,15.59,12
lavrentiya,65.58,14.17,100,10.0,92
nizhnevartovsk,60.93,28.4,86,4.47,0
tautira,-17.73,82.4,78,2.24,40
